ticket_no,book_ref,passenger_id,passenger_name,contact_data,book_ref,book_date,total_amount,ticket_no,flight_id,fare_conditions,amount,flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival,ticket_no,flight_id,boarding_no,seat_no
0005432000863,78E2D2,"2836 125969","GENNADIY NIKITIN","{"email": "nikitin_g_111965@postgrespro.ru", "phone": "+70556069198"}",78E2D2,"2017-05-02 01:40:00",6200.00,0005432000863,57354,Economy,6200.00,57354,PG0242,"2017-05-18 09:05:00","2017-05-18 09:55:00",CSY,SVO,Arrived,SU9,"2017-05-18 09:06:00","2017-05-18 09:56:00",0005432000863,57354,2,17F
0005432018403,934453,"8142 560633","GENNADIY NIKITIN","{"email": "nikitin_gennadiy-1978@postgrespro.ru", "phone": "+70416138244"}",934453,"2017-05-06 07:45:00",13400.00,0005432018403,15900,Economy,6700.00,15900,PG0408,"2017-05-26 08:55:00","2017-05-26 09:50:00",LED,DME,Arrived,321,"2017-05-26 08:56:00","2017-05-26 09:51:00",0005432018403,15900,38,13A
0005432150100,621ECB,"9317 563684","GENNADIY NIKITIN","{"phone": "+70522036053"}",621ECB,"2017-07-03 02:35:00",74600.00,0005432150100,15358,Comfort,23900.00,15358,PG0224,"2017-07-21 14:05:00","2017-07-21 15:50:00",SVO,AER,Arrived,773,"2017-07-21 14:06:00","2017-07-21 15:50:00",0005432150100,15358,204,16K
0005432150100,621ECB,"9317 563684","GENNADIY NIKITIN","{"phone": "+70522036053"}",621ECB,"2017-07-03 02:35:00",74600.00,0005432150100,60751,Economy,13400.00,60751,PG0522,"2017-07-22 11:10:00","2017-07-22 13:00:00",AER,KUF,Arrived,733,"2017-07-22 11:12:00","2017-07-22 13:01:00",0005432150100,60751,36,16F
0005432380826,73CA24,"2859 198082","GENNADIY NIKITIN","{"email": "nikitin.g-1964@postgrespro.ru", "phone": "+70247151257"}",73CA24,"2017-05-22 11:51:00",32400.00,0005432380826,8962,Economy,3300.00,8962,PG0233,"2017-06-04 09:15:00","2017-06-04 09:40:00",VKO,BZK,Arrived,SU9,"2017-06-04 09:20:00","2017-06-04 09:45:00",0005432380826,8962,49,12D
0005432380826,73CA24,"2859 198082","GENNADIY NIKITIN","{"email": "nikitin.g-1964@postgrespro.ru", "phone": "+70247151257"}",73CA24,"2017-05-22 11:51:00",32400.00,0005432380826,41836,Economy,6300.00,41836,PG0480,"2017-06-17 09:25:00","2017-06-17 10:15:00",AAQ,EGO,Arrived,SU9,"2017-06-17 09:30:00","2017-06-17 10:21:00",0005432380826,41836,57,13A
0005432380826,73CA24,"2859 198082","GENNADIY NIKITIN","{"email": "nikitin.g-1964@postgrespro.ru", "phone": "+70247151257"}",73CA24,"2017-05-22 11:51:00",32400.00,0005432380826,59918,Economy,3300.00,59918,PG0237,"2017-06-19 06:20:00","2017-06-19 06:45:00",BZK,VKO,Arrived,SU9,"2017-06-19 06:25:00","2017-06-19 06:50:00",0005432380826,59918,9,19C
0005432380826,73CA24,"2859 198082","GENNADIY NIKITIN","{"email": "nikitin.g-1964@postgrespro.ru", "phone": "+70247151257"}",73CA24,"2017-05-22 11:51:00",32400.00,0005432380826,60443,Economy,3300.00,60443,PG0649,"2017-06-04 12:35:00","2017-06-04 13:00:00",BZK,EGO,Arrived,SU9,"2017-06-04 12:37:00","2017-06-04 13:02:00",0005432380826,60443,32,7E
0005432380826,73CA24,"2859 198082","GENNADIY NIKITIN","{"email": "nikitin.g-1964@postgrespro.ru", "phone": "+70247151257"}",73CA24,"2017-05-22 11:51:00",32400.00,0005432380826,61953,Economy,6300.00,61953,PG0481,"2017-06-05 10:00:00","2017-06-05 10:50:00",EGO,AAQ,Arrived,SU9,"2017-06-05 10:03:00","2017-06-05 10:53:00",0005432380826,61953,76,12C
0005432380826,73CA24,"2859 198082","GENNADIY NIKITIN","{"email": "nikitin.g-1964@postgrespro.ru", "phone": "+70247151257"}",73CA24,"2017-05-22 11:51:00",32400.00,0005432380826,62038,Business,9900.00,62038,PG0650,"2017-06-18 10:35:00","2017-06-18 11:00:00",EGO,BZK,Arrived,SU9,"2017-06-18 13:11:00","2017-06-18 13:36:00",0005432380826,62038,74,3A
0005432706353,D13553,"9147 215823","GENNADIY NIKITIN","{"email": "g_nikitin-1990@postgrespro.ru", "phone": "+70214436751"}",D13553,"2017-06-26 12:21:00",6800.00,0005432706353,5805,Economy,3400.00,5805,PG0384,"2017-07-17 09:10:00","2017-07-17 09:40:00",DME,BZK,Arrived,SU9,"2017-07-17 09:12:00","2017-07-17 09:41:00",0005432706353,5805,27,10C
0005432706353,D13553,"9147 215823","GENNADIY NIKITIN","{"email": "g_nikitin-1990@postgrespro.ru", "phone": "+70214436751"}",D13553,"2017-06-26 12:21:00",6800.00,0005432706353,59537,Economy,3400.00,59537,PG0387,"2017-07-25 14:05:00","2017-07-25 14:35:00",BZK,DME,Arrived,SU9,"2017-07-25 14:10:00","2017-07-25 14:40:00",0005432706353,59537,67,13F
0005432747244,E1677F,"9515 051348","GENNADIY NIKITIN","{"phone": "+70823529489"}",E1677F,"2017-07-08 07:23:00",59200.00,0005432747244,820,Economy,14800.00,820,PG0273,"2017-07-25 06:50:00","2017-07-25 08:50:00",DME,CEK,Arrived,SU9,"2017-07-25 06:52:00","2017-07-25 08:52:00",0005432747244,820,44,10E
0005432747244,E1677F,"9515 051348","GENNADIY NIKITIN","{"phone": "+70823529489"}",E1677F,"2017-07-08 07:23:00",59200.00,0005432747244,23868,Economy,14800.00,23868,PG0274,"2017-08-03 12:50:00","2017-08-03 14:50:00",CEK,DME,Arrived,SU9,"2017-08-03 12:55:00","2017-08-03 14:55:00",0005432747244,23868,51,18D
0005432798098,166BBE,"8362 397348","GENNADIY NIKITIN","{"email": "nikitin_g.071977@postgrespro.ru", "phone": "+70153742793"}",166BBE,"2017-05-30 11:38:00",32200.00,0005432798098,6929,Economy,11700.00,6929,PG0412,"2017-06-16 08:00:00","2017-06-16 09:25:00",VKO,PEE,Arrived,773,"2017-06-16 11:57:00","2017-06-16 13:23:00",0005432798098,6929,54,20G
0005432798098,166BBE,"8362 397348","GENNADIY NIKITIN","{"email": "nikitin_g.071977@postgrespro.ru", "phone": "+70153742793"}",166BBE,"2017-05-30 11:38:00",32200.00,0005432798098,24069,Economy,4400.00,24069,PG0675,"2017-06-25 08:40:00","2017-06-25 09:20:00",CEK,PEE,Arrived,CR2,"2017-06-25 08:44:00","2017-06-25 09:24:00",0005432798098,24069,24,22D
0005432798098,166BBE,"8362 397348","GENNADIY NIKITIN","{"email": "nikitin_g.071977@postgrespro.ru", "phone": "+70153742793"}",166BBE,"2017-05-30 11:38:00",32200.00,0005432798098,28883,Economy,11700.00,28883,PG0413,"2017-06-25 15:55:00","2017-06-25 17:20:00",PEE,VKO,Arrived,773,"2017-06-25 15:59:00","2017-06-25 17:25:00",0005432798098,28883,211,42D
0005432798098,166BBE,"8362 397348","GENNADIY NIKITIN","{"email": "nikitin_g.071977@postgrespro.ru", "phone": "+70153742793"}",166BBE,"2017-05-30 11:38:00",32200.00,0005432798098,29300,Economy,4400.00,29300,PG0676,"2017-06-17 04:05:00","2017-06-17 04:45:00",PEE,CEK,Arrived,CR2,"2017-06-17 04:08:00","2017-06-17 04:48:00",0005432798098,29300,22,6C
0005432798586,6865D5,"2371 210224","GENNADIY NIKITIN","{"phone": "+70486484297"}",6865D5,"2017-06-16 20:28:00",55500.00,0005432798586,6865,Business,35000.00,6865,PG0412,"2017-07-03 08:00:00","2017-07-03 09:25:00",VKO,PEE,Arrived,773,"2017-07-03 08:04:00","2017-07-03 09:30:00",0005432798586,6865,64,5C
0005432798586,6865D5,"2371 210224","GENNADIY NIKITIN","{"phone": "+70486484297"}",6865D5,"2017-06-16 20:28:00",55500.00,0005432798586,23979,Economy,4400.00,23979,PG0675,"2017-07-11 08:40:00","2017-07-11 09:20:00",CEK,PEE,Arrived,CR2,"2017-07-11 08:44:00","2017-07-11 09:24:00",0005432798586,23979,16,19B
0005432798586,6865D5,"2371 210224","GENNADIY NIKITIN","{"phone": "+70486484297"}",6865D5,"2017-06-16 20:28:00",55500.00,0005432798586,28853,Economy,11700.00,28853,PG0413,"2017-07-11 15:55:00","2017-07-11 17:20:00",PEE,VKO,Arrived,773,"2017-07-11 15:57:00","2017-07-11 17:22:00",0005432798586,28853,92,31K
0005432798586,6865D5,"2371 210224","GENNADIY NIKITIN","{"phone": "+70486484297"}",6865D5,"2017-06-16 20:28:00",55500.00,0005432798586,29414,Economy,4400.00,29414,PG0676,"2017-07-04 04:05:00","2017-07-04 04:45:00",PEE,CEK,Arrived,CR2,"2017-07-04 04:11:00","2017-07-04 04:51:00",0005432798586,29414,27,6B
0005432879717,19DA37,"3728 192563","GENNADIY NIKITIN","{"email": "nikitin.g-121966@postgrespro.ru", "phone": "+70086738916"}",19DA37,"2017-05-05 23:40:00",27600.00,0005432879717,5793,Economy,3400.00,5793,PG0384,"2017-05-30 09:10:00","2017-05-30 09:40:00",DME,BZK,Arrived,SU9,"2017-05-30 09:15:00","2017-05-30 09:45:00",0005432879717,5793,58,12E
0005432879717,19DA37,"3728 192563","GENNADIY NIKITIN","{"email": "nikitin.g-121966@postgrespro.ru", "phone": "+70086738916"}",19DA37,"2017-05-05 23:40:00",27600.00,0005432879717,59589,Economy,3400.00,59589,PG0387,"2017-05-21 14:05:00","2017-05-21 14:35:00",BZK,DME,Arrived,SU9,"2017-05-21 14:07:00","2017-05-21 14:37:00",0005432879717,59589,61,12F
0005433007476,1828E5,"8213 128622","GENNADIY NIKITIN","{"email": "nikitin.g.15051967@postgrespro.ru", "phone": "+70635663059"}",1828E5,"2017-06-24 08:09:00",67200.00,0005433007476,3556,Economy,16200.00,3556,PG0541,"2017-07-16 08:15:00","2017-07-16 10:25:00",DME,OVS,Arrived,SU9,"2017-07-16 08:18:00","2017-07-16 10:27:00",0005433007476,3556,49,10F
0005433007476,1828E5,"8213 128622","GENNADIY NIKITIN","{"email": "nikitin.g.15051967@postgrespro.ru", "phone": "+70635663059"}",1828E5,"2017-06-24 08:09:00",67200.00,0005433007476,28123,Economy,17400.00,28123,PG0689,"2017-07-08 04:25:00","2017-07-08 06:45:00",KJA,OVS,Arrived,SU9,"2017-07-08 04:29:00","2017-07-08 06:48:00",0005433007476,28123,24,5A
0005433007476,1828E5,"8213 128622","GENNADIY NIKITIN","{"email": "nikitin.g.15051967@postgrespro.ru", "phone": "+70635663059"}",1828E5,"2017-06-24 08:09:00",67200.00,0005433007476,44805,Economy,16200.00,44805,PG0543,"2017-07-09 04:45:00","2017-07-09 06:55:00",OVS,DME,Arrived,SU9,"2017-07-09 04:48:00","2017-07-09 07:00:00",0005433007476,44805,6,4C
0005433007476,1828E5,"8213 128622","GENNADIY NIKITIN","{"email": "nikitin.g.15051967@postgrespro.ru", "phone": "+70635663059"}",1828E5,"2017-06-24 08:09:00",67200.00,0005433007476,45328,Economy,17400.00,45328,PG0690,"2017-07-17 08:25:00","2017-07-17 10:45:00",OVS,KJA,Arrived,SU9,"2017-07-17 11:33:00","2017-07-17 13:55:00",0005433007476,45328,11,19C
0005433008806,CE8212,"2320 114544","GENNADIY NIKITIN","{"phone": "+70914953273"}",CE8212,"2017-07-19 17:37:00",403600.00,0005433008806,3649,Business,48700.00,3649,PG0541,"2017-08-12 08:15:00","2017-08-12 10:25:00",DME,OVS,Arrived,SU9,"2017-08-12 08:18:00","2017-08-12 10:26:00",0005433008806,3649,27,1F
0005433008806,CE8212,"2320 114544","GENNADIY NIKITIN","{"phone": "+70914953273"}",CE8212,"2017-07-19 17:37:00",403600.00,0005433008806,28150,Economy,17400.00,28150,PG0689,"2017-08-06 04:25:00","2017-08-06 06:45:00",KJA,OVS,Arrived,SU9,"2017-08-06 04:27:00","2017-08-06 06:49:00",0005433008806,28150,25,14F
0005433008806,CE8212,"2320 114544","GENNADIY NIKITIN","{"phone": "+70914953273"}",CE8212,"2017-07-19 17:37:00",403600.00,0005433008806,44689,Economy,16200.00,44689,PG0543,"2017-08-07 04:45:00","2017-08-07 06:55:00",OVS,DME,Arrived,SU9,"2017-08-07 04:47:00","2017-08-07 06:56:00",0005433008806,44689,71,17A
0005433008806,CE8212,"2320 114544","GENNADIY NIKITIN","{"phone": "+70914953273"}",CE8212,"2017-07-19 17:37:00",403600.00,0005433008806,45342,Economy,17400.00,45342,PG0690,"2017-08-13 08:25:00","2017-08-13 10:45:00",OVS,KJA,Arrived,SU9,"2017-08-13 08:26:00","2017-08-13 10:47:00",0005433008806,45342,32,12E
0005433073143,246314,"7171 691957","GENNADIY NIKITIN","{"email": "g.nikitin-011969@postgrespro.ru", "phone": "+70937775458"}",246314,"2017-05-21 22:41:00",14400.00,0005433073143,663,Economy,7200.00,663,PG0202,"2017-06-16 07:40:00","2017-06-16 08:35:00",DME,KZN,Arrived,321,"2017-06-16 07:41:00","2017-06-16 08:35:00",0005433073143,663,49,16D
0005433073143,246314,"7171 691957","GENNADIY NIKITIN","{"email": "g.nikitin-011969@postgrespro.ru", "phone": "+70937775458"}",246314,"2017-05-21 22:41:00",14400.00,0005433073143,22939,Economy,7200.00,22939,PG0203,"2017-06-09 14:45:00","2017-06-09 15:40:00",KZN,DME,Arrived,321,"2017-06-09 14:47:00","2017-06-09 15:42:00",0005433073143,22939,103,27B
0005433074540,18F73A,"8353 098605","GENNADIY NIKITIN","{"email": "nikitin_g011977@postgrespro.ru", "phone": "+70776147399"}",18F73A,"2017-07-15 00:39:00",58100.00,0005433074540,649,Economy,7200.00,649,PG0202,"2017-08-03 07:40:00","2017-08-03 08:35:00",DME,KZN,Arrived,321,"2017-08-03 07:41:00","2017-08-03 08:36:00",0005433074540,649,60,13B
0005433074540,18F73A,"8353 098605","GENNADIY NIKITIN","{"email": "nikitin_g011977@postgrespro.ru", "phone": "+70776147399"}",18F73A,"2017-07-15 00:39:00",58100.00,0005433074540,23036,Business,21500.00,23036,PG0203,"2017-07-27 14:45:00","2017-07-27 15:40:00",KZN,DME,Arrived,321,"2017-07-27 14:46:00","2017-07-27 15:41:00",0005433074540,23036,128,4C
0005433102069,3BF6F4,"3056 465577","GENNADIY NIKITIN","{"phone": "+70209743232"}",3BF6F4,"2017-07-17 19:18:00",13400.00,0005433102069,336,Economy,6700.00,336,PG0404,"2017-08-09 16:05:00","2017-08-09 17:00:00",DME,LED,Arrived,321,"2017-08-09 19:18:00","2017-08-09 20:13:00",0005433102069,336,17,26C
0005433102069,3BF6F4,"3056 465577","GENNADIY NIKITIN","{"phone": "+70209743232"}",3BF6F4,"2017-07-17 19:18:00",13400.00,0005433102069,16085,Economy,6700.00,16085,PG0408,"2017-08-01 08:55:00","2017-08-01 09:50:00",LED,DME,Arrived,321,"2017-08-01 08:57:00","2017-08-01 09:52:00",0005433102069,16085,99,24F
0005433292889,9825A1,"5289 317710","GENNADIY NIKITIN","{"email": "nikitin-g.031973@postgrespro.ru", "phone": "+70364912261"}",9825A1,"2017-05-18 20:55:00",65200.00,0005433292889,756,Economy,14800.00,756,PG0273,"2017-06-15 06:50:00","2017-06-15 08:50:00",DME,CEK,Arrived,SU9,"2017-06-15 06:52:00","2017-06-15 08:53:00",0005433292889,756,30,5F
0005433292889,9825A1,"5289 317710","GENNADIY NIKITIN","{"email": "nikitin-g.031973@postgrespro.ru", "phone": "+70364912261"}",9825A1,"2017-05-18 20:55:00",65200.00,0005433292889,23917,Economy,14800.00,23917,PG0274,"2017-06-09 12:50:00","2017-06-09 14:50:00",CEK,DME,Arrived,SU9,"2017-06-09 12:50:00","2017-06-09 14:50:00",0005433292889,23917,38,7A
0005433292889,9825A1,"5289 317710","GENNADIY NIKITIN","{"email": "nikitin-g.031973@postgrespro.ru", "phone": "+70364912261"}",9825A1,"2017-05-18 20:55:00",65200.00,0005433292889,24419,Economy,17800.00,24419,PG0259,"2017-06-17 09:30:00","2017-06-17 12:00:00",CEK,STW,Arrived,CR2,"2017-06-17 12:13:00","2017-06-17 14:45:00",0005433292889,24419,5,20D
0005433292889,9825A1,"5289 317710","GENNADIY NIKITIN","{"email": "nikitin-g.031973@postgrespro.ru", "phone": "+70364912261"}",9825A1,"2017-05-18 20:55:00",65200.00,0005433292889,58690,Economy,17800.00,58690,PG0260,"2017-06-08 11:25:00","2017-06-08 13:55:00",STW,CEK,Arrived,CR2,"2017-06-08 11:31:00","2017-06-08 14:00:00",0005433292889,58690,7,5D
0005433448928,6D639C,"6965 740011","GENNADIY NIKITIN","{"email": "nikitin_gennadiy.13111965@postgrespro.ru", "phone": "+70616840019"}",6D639C,"2017-06-04 07:48:00",28000.00,0005433448928,15177,Economy,3700.00,15177,PG0159,"2017-06-16 07:40:00","2017-06-16 08:10:00",SVO,BZK,Arrived,SU9,"2017-06-16 07:46:00","2017-06-16 08:16:00",0005433448928,15177,69,18E
0005433448928,6D639C,"6965 740011","GENNADIY NIKITIN","{"email": "nikitin_gennadiy.13111965@postgrespro.ru", "phone": "+70616840019"}",6D639C,"2017-06-04 07:48:00",28000.00,0005433448928,60108,Economy,3700.00,60108,PG0162,"2017-07-01 16:00:00","2017-07-01 16:30:00",BZK,SVO,Arrived,SU9,"2017-07-01 16:10:00","2017-07-01 16:40:00",0005433448928,60108,21,5D
0005433448928,6D639C,"6965 740011","GENNADIY NIKITIN","{"email": "nikitin_gennadiy.13111965@postgrespro.ru", "phone": "+70616840019"}",6D639C,"2017-06-04 07:48:00",28000.00,0005433448928,60447,Economy,3300.00,60447,PG0649,"2017-06-16 12:35:00","2017-06-16 13:00:00",BZK,EGO,Arrived,SU9,"2017-06-16 12:38:00","2017-06-16 13:03:00",0005433448928,60447,59,5C
0005433448928,6D639C,"6965 740011","GENNADIY NIKITIN","{"email": "nikitin_gennadiy.13111965@postgrespro.ru", "phone": "+70616840019"}",6D639C,"2017-06-04 07:48:00",28000.00,0005433448928,62131,Economy,3300.00,62131,PG0650,"2017-07-01 10:35:00","2017-07-01 11:00:00",EGO,BZK,Arrived,SU9,"2017-07-01 10:38:00","2017-07-01 11:03:00",0005433448928,62131,53,10A
0005433507129,60EB3F,"7895 373222","GENNADIY NIKITIN","{"phone": "+70902541895"}",60EB3F,"2017-07-11 18:33:00",30400.00,0005433507129,6457,Economy,6300.00,6457,PG0227,"2017-07-30 06:45:00","2017-07-30 07:35:00",VKO,LED,Arrived,321,"2017-07-30 06:52:00","2017-07-30 07:42:00",0005433507129,6457,42,18D
0005433507129,60EB3F,"7895 373222","GENNADIY NIKITIN","{"phone": "+70902541895"}",60EB3F,"2017-07-11 18:33:00",30400.00,0005433507129,16292,Economy,6300.00,16292,PG0230,"2017-08-08 07:20:00","2017-08-08 08:10:00",LED,VKO,Arrived,321,"2017-08-08 07:21:00","2017-08-08 08:11:00",0005433507129,16292,109,9A
0005433507129,60EB3F,"7895 373222","GENNADIY NIKITIN","{"phone": "+70902541895"}",60EB3F,"2017-07-11 18:33:00",30400.00,0005433507129,18007,Economy,8900.00,18007,PG0571,"2017-07-30 11:50:00","2017-07-30 13:00:00",LED,GOJ,Arrived,SU9,"2017-07-30 11:53:00","2017-07-30 13:03:00",0005433507129,18007,51,8D
0005433507129,60EB3F,"7895 373222","GENNADIY NIKITIN","{"phone": "+70902541895"}",60EB3F,"2017-07-11 18:33:00",30400.00,0005433507129,40600,Economy,8900.00,40600,PG0572,"2017-08-07 16:10:00","2017-08-07 17:20:00",GOJ,LED,Arrived,SU9,"2017-08-07 19:13:00","2017-08-07 20:22:00",0005433507129,40600,37,5E
0005433565125,35198C,"9047 794540","GENNADIY NIKITIN","{"phone": "+70094369456"}",35198C,"2017-05-15 03:08:00",85000.00,0005433565125,723,Economy,7200.00,723,PG0202,"2017-05-30 07:40:00","2017-05-30 08:35:00",DME,KZN,Arrived,321,"2017-05-30 07:44:00","2017-05-30 08:39:00",0005433565125,723,138,31F
0005433565125,35198C,"9047 794540","GENNADIY NIKITIN","{"phone": "+70094369456"}",35198C,"2017-05-15 03:08:00",85000.00,0005433565125,22939,Economy,7200.00,22939,PG0203,"2017-06-09 14:45:00","2017-06-09 15:40:00",KZN,DME,Arrived,321,"2017-06-09 14:47:00","2017-06-09 15:42:00",0005433565125,22939,51,13C
0005433565125,35198C,"9047 794540","GENNADIY NIKITIN","{"phone": "+70094369456"}",35198C,"2017-05-15 03:08:00",85000.00,0005433565125,23553,Economy,35300.00,23553,PG0498,"2017-05-31 07:15:00","2017-05-31 11:55:00",KZN,IKT,Arrived,319,"2017-05-31 07:16:00","2017-05-31 11:57:00",0005433565125,23553,95,19F
0005433565125,35198C,"9047 794540","GENNADIY NIKITIN","{"phone": "+70094369456"}",35198C,"2017-05-15 03:08:00",85000.00,0005433565125,50175,Economy,35300.00,50175,PG0499,"2017-06-08 10:10:00","2017-06-08 14:50:00",IKT,KZN,Arrived,319,"2017-06-08 10:13:00","2017-06-08 14:56:00",0005433565125,50175,30,8A
0005433766421,29415D,"8954 361954","GENNADIY NIKITIN","{"email": "nikitingennadiy-29021976@postgrespro.ru", "phone": "+70121306338"}",29415D,"2017-05-24 21:02:00",432900.00,0005433766421,544,Economy,27900.00,544,PG0222,"2017-06-18 08:05:00","2017-06-18 11:30:00",DME,OVB,Arrived,773,"2017-06-18 08:08:00","2017-06-18 11:34:00",0005433766421,544,236,44E
0005433766421,29415D,"8954 361954","GENNADIY NIKITIN","{"email": "nikitingennadiy-29021976@postgrespro.ru", "phone": "+70121306338"}",29415D,"2017-05-24 21:02:00",432900.00,0005433766421,4613,Economy,61500.00,4613,PG0208,"2017-06-07 17:40:00","2017-06-08 01:40:00",DME,KHV,Arrived,763,"2017-06-07 17:43:00","2017-06-08 01:43:00",0005433766421,4613,145,30D
