ticket_no,book_ref,passenger_id,passenger_name,contact_data
0005432000863,78E2D2,"2836 125969","GENNADIY NIKITIN","{"email": "nikitin_g_111965@postgrespro.ru", "phone": "+70556069198"}"
0005432018403,934453,"8142 560633","GENNADIY NIKITIN","{"email": "nikitin_gennadiy-1978@postgrespro.ru", "phone": "+70416138244"}"
0005432150100,621ECB,"9317 563684","GENNADIY NIKITIN","{"phone": "+70522036053"}"
0005432380826,73CA24,"2859 198082","GENNADIY NIKITIN","{"email": "nikitin.g-1964@postgrespro.ru", "phone": "+70247151257"}"
0005432706353,D13553,"9147 215823","GENNADIY NIKITIN","{"email": "g_nikitin-1990@postgrespro.ru", "phone": "+70214436751"}"
0005432747244,E1677F,"9515 051348","GENNADIY NIKITIN","{"phone": "+70823529489"}"
0005432798098,166BBE,"8362 397348","GENNADIY NIKITIN","{"email": "nikitin_g.071977@postgrespro.ru", "phone": "+70153742793"}"
0005432798586,6865D5,"2371 210224","GENNADIY NIKITIN","{"phone": "+70486484297"}"
0005432879717,19DA37,"3728 192563","GENNADIY NIKITIN","{"email": "nikitin.g-121966@postgrespro.ru", "phone": "+70086738916"}"
0005433007476,1828E5,"8213 128622","GENNADIY NIKITIN","{"email": "nikitin.g.15051967@postgrespro.ru", "phone": "+70635663059"}"
0005433008806,CE8212,"2320 114544","GENNADIY NIKITIN","{"phone": "+70914953273"}"
0005433073143,246314,"7171 691957","GENNADIY NIKITIN","{"email": "g.nikitin-011969@postgrespro.ru", "phone": "+70937775458"}"
0005433074540,18F73A,"8353 098605","GENNADIY NIKITIN","{"email": "nikitin_g011977@postgrespro.ru", "phone": "+70776147399"}"
0005433102069,3BF6F4,"3056 465577","GENNADIY NIKITIN","{"phone": "+70209743232"}"
0005433292889,9825A1,"5289 317710","GENNADIY NIKITIN","{"email": "nikitin-g.031973@postgrespro.ru", "phone": "+70364912261"}"
0005433448928,6D639C,"6965 740011","GENNADIY NIKITIN","{"email": "nikitin_gennadiy.13111965@postgrespro.ru", "phone": "+70616840019"}"
0005433507129,60EB3F,"7895 373222","GENNADIY NIKITIN","{"phone": "+70902541895"}"
0005433565125,35198C,"9047 794540","GENNADIY NIKITIN","{"phone": "+70094369456"}"
0005433766421,29415D,"8954 361954","GENNADIY NIKITIN","{"email": "nikitingennadiy-29021976@postgrespro.ru", "phone": "+70121306338"}"
0005433784346,41C522,"6261 726461","GENNADIY NIKITIN","{"phone": "+70700255515"}"
0005433866148,F69903,"9209 820303","GENNADIY NIKITIN","{"phone": "+70023129259"}"
0005433920499,4CED23,"0686 688955","GENNADIY NIKITIN","{"phone": "+70233647783"}"
0005434021468,F7EBCD,"6147 522822","GENNADIY NIKITIN","{"email": "g.nikitin.091968@postgrespro.ru", "phone": "+70223809052"}"
0005434136702,C8B357,"2647 874511","GENNADIY NIKITIN","{"email": "nikitin.g_05111963@postgrespro.ru", "phone": "+70088671414"}"
0005434149638,D2EC83,"6268 589451","GENNADIY NIKITIN","{"email": "gennadiy.nikitin.121973@postgrespro.ru", "phone": "+70285377756"}"
0005434264796,DA4042,"9771 995668","GENNADIY NIKITIN","{"email": "gennadiy-nikitin.30071975@postgrespro.ru", "phone": "+70122129586"}"
0005434341647,1C5FD3,"9722 278221","GENNADIY NIKITIN","{"email": "gennadiy.nikitin_1973@postgrespro.ru", "phone": "+70227459940"}"
0005434351355,AF0B8F,"5272 627402","GENNADIY NIKITIN","{"phone": "+70607773579"}"
0005434502937,6BDA47,"9271 118246","GENNADIY NIKITIN","{"email": "nikitin-g051975@postgrespro.ru", "phone": "+70577397038"}"
0005434565803,966B80,"1522 961017","GENNADIY NIKITIN","{"phone": "+70167438963"}"
0005434720807,DCD59F,"4137 044361","GENNADIY NIKITIN","{"phone": "+70692092830"}"
0005434755618,4860E5,"9838 668323","GENNADIY NIKITIN","{"email": "nikitin.g-1972@postgrespro.ru", "phone": "+70908173367"}"
0005434874974,D28EA5,"6091 426398","GENNADIY NIKITIN","{"email": "nikitingennadiy_1966@postgrespro.ru", "phone": "+70924940809"}"
0005435242485,40FBEA,"8393 623777","GENNADIY NIKITIN","{"email": "nikitin.g-1978@postgrespro.ru", "phone": "+70696801519"}"
0005435377436,0A7BA0,"2756 929037","GENNADIY NIKITIN","{"email": "nikitingennadiy_1989@postgrespro.ru", "phone": "+70196691799"}"
0005435425479,68192A,"0151 134155","GENNADIY NIKITIN","{"phone": "+70711619507"}"
0005435472619,B93FB3,"7640 314539","GENNADIY NIKITIN","{"email": "gnikitin121975@postgrespro.ru", "phone": "+70115540946"}"
0005435516695,3780C4,"2116 046552","GENNADIY NIKITIN","{"email": "nikiting_13061976@postgrespro.ru", "phone": "+70658117861"}"
0005435555330,E476A9,"6787 626612","GENNADIY NIKITIN","{"phone": "+70837181419"}"
0005435605238,EE57B0,"2991 738364","GENNADIY NIKITIN","{"email": "gnikitin_021969@postgrespro.ru", "phone": "+70044671242"}"
0005435606638,AAD907,"1562 398220","GENNADIY NIKITIN","{"email": "g-nikitin_25111973@postgrespro.ru", "phone": "+70900529986"}"
0005435783008,A35379,"4424 122123","GENNADIY NIKITIN","{"email": "nikitin.g.1972@postgrespro.ru", "phone": "+70145534589"}"
0005435946526,A46890,"2976 207815","GENNADIY NIKITIN","{"email": "nikitin-g011973@postgrespro.ru", "phone": "+70064603992"}"
